index,genres,keywords,original_title,title,cast,director
137,Animation Family,martial arts hope fleet panda mission,Kung Fu Panda 2,Kung Fu Panda 2,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Jennifer Yuh Nelson
138,Action Adventure Family Fantasy,fire ice war ship prince kingdom,The Last Airbender,The Last Airbender,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,M. Night Shyamalan
139,Adventure Action Thriller,berlin cia vatican white house secret identity,Mission: Impossible III,Mission: Impossible III,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,J.J. Abrams
140,Action Drama Thriller,usa president conspiracy secret service the white house,White House Down,White House Down,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,Roland Emmerich
141,Adventure Animation Family,boy alien rescue martian alien abduction,Mars Needs Moms,Mars Needs Moms,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Simon Wells
142,Adventure Animation Comedy Family,london england underworld return ship frog,Flushed Away,Flushed Away,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,David Bowers
143,Adventure Family Fantasy,flying magic fairy tale peter pan mermaid,Pan,Pan,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright
144,Animation Adventure Family,father son relationship egypt intelligence adoption time travel,Mr. Peabody & Sherman,Mr. Peabody & Sherman,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Rob Minkoff
145,Adventure Drama War,brother brother relationship adultery mythology beauty trojan war,Troy,Troy,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,Wolfgang Petersen
146,Animation Family,madagascar 3d,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Conrad Vernon
147,Adventure Action Thriller,laser british secret service secret service agent space based weapon,Die Another Day,Die Another Day,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,Lee Tamahori
148,Action Fantasy Comedy,female friendship ghost hunting reboot ghost,Ghostbusters,Ghostbusters,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Paul Feig
149,Action Thriller Science Fiction Adventure,saving the world paris moon cataclysm asteroid,Armageddon,Armageddon,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,Michael Bay
150,Action Adventure Comedy Science Fiction,saving the world secret identity sun glasses undercover space marine,Men in Black II,Men in Black II,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Barry Sonnenfeld
151,Adventure Action Animation,denmark nordic mythology lie pride and vanity folk hero,Beowulf,Beowulf,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,Robert Zemeckis
152,Action Adventure Animation Comedy Family,china martial arts kung fu village panda,Kung Fu Panda 3,Kung Fu Panda 3,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,Jennifer Yuh Nelson
153,Action Thriller Adventure,fight sequel mission explosion broken arm,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor,Brad Bird
154,Fantasy Animation Family,dream santa claus nightmare easter bunny tooth fairy,Rise of the Guardians,Rise of the Guardians,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,Peter Ramsey
155,Comedy,based on novel desperation robber hold-up robbery remake,Fun with Dick and Jane,Fun with Dick and Jane,Jim Carrey T\u00e9a Leoni Alec Baldwin Richard Jenkins Angie Harmon,Dean Parisot
156,Drama Action War History,japan war crimes sense of guilt swordplay general,The Last Samurai,The Last Samurai,Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly,Edward Zwick
157,Adventure Drama Action,moses bible ancient egypt 3d ramses,Exodus: Gods and Kings,Exodus: Gods and Kings,Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,Ridley Scott
158,Science Fiction Action Adventure,spacecraft teleportation space mission parachute time travel,Star Trek,Star Trek,Chris Pine Zachary Quinto Leonard Nimoy Eric Bana Bruce Greenwood,J.J. Abrams
159,Fantasy Action,loss of lover spider thanksgiving bad boss hostility,Spider-Man,Spider-Man,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson,Sam Raimi
160,Fantasy Action Adventure Animation Comedy,father son relationship wife husband relationship sacrifice viking sequel,How to Train Your Dragon 2,How to Train Your Dragon 2,Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett,Dean DeBlois
161,Fantasy,egypt underworld fight mythology nile,Gods of Egypt,Gods of Egypt,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler Courtney Eaton Elodie Yung,Alex Proyas
162,Action,artificial intelligence u.s. navy aftercreditsstinger,Stealth,Stealth,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh,Rob Cohen
163,Action Mystery Science Fiction,dc comics secret identity mass murder retirement based on comic book,Watchmen,Watchmen,Malin \u00c5kerman Billy Crudup Carla Gugino Jeffrey Dean Morgan Patrick Wilson,Zack Snyder
164,Action Adventure Comedy Crime Thriller,lapd house on fire revolver,Lethal Weapon 4,Lethal Weapon 4,Mel Gibson Danny Glover Joe Pesci Rene Russo Jet Li,Richard Donner
165,Drama Action Science Fiction,california san francisco monster general gun,Hulk,Hulk,Eric Bana Jennifer Connelly Sam Elliott Josh Lucas Nick Nolte,Ang Lee
166,Adventure Action Science Fiction Thriller,terror assassin secret technology missile,G.I. Joe: Retaliation,G.I. Joe: Retaliation,Dwayne Johnson D.J. Cotrona Adrianne Palicki Bruce Willis Ray Park,Jon M. Chu
167,Action Adventure Comedy Drama Mystery,tyrant ironclad ship,Sahara,Sahara,Matthew McConaughey Pen\u00e9lope Cruz Steve Zahn William H. Macy Lennie James,Breck Eisner
168,Adventure Action Animation Fantasy Science Fiction,battle assignment dystopia alien downfall scientist,Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,Donald Sutherland Ming-Na Wen Alec Baldwin Ving Rhames Steve Buscemi,Hironobu Sakaguchi
169,Action Adventure Science Fiction,new york usa world war ii nazis marvel comic,Captain America: The First Avenger,Captain America: The First Avenger,Chris Evans Hugo Weaving Tommy Lee Jones Hayley Atwell Sebastian Stan,Joe Johnston
170,Adventure Action Thriller,british mission oil heiress bilbao spain,The World Is Not Enough,The World Is Not Enough,Pierce Brosnan Sophie Marceau Robert Carlyle Denise Richards Robbie Coltrane,Michael Apted
171,Adventure,naturalist frigate self surgery sea battle weevil,Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,Russell Crowe Paul Bettany James D'Arcy Billy Boyd Joseph Morgan,Peter Weir
172,Adventure Fantasy Drama Romance,vampire romance villainess super strength imprinting,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart Robert Pattinson Taylor Lautner Peter Facinelli Elizabeth Reaser,Bill Condon
173,Animation Comedy Family,penguin musical aftercreditsstinger 3d,Happy Feet Two,Happy Feet Two,Elijah Wood Robin Williams Pink E.G. Daily Johnny A. Sanchez,George Miller
174,Science Fiction Action Adventure,new york rio de janeiro marvel comic superhero based on comic book,The Incredible Hulk,The Incredible Hulk,Edward Norton Liv Tyler Tim Roth William Hurt Tim Blake Nelson,Louis Leterrier
175,Adventure Family Fantasy,london england england based on novel queen little girl,The BFG,The BFG,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,Steven Spielberg
176,Western Drama Adventure Thriller,father son relationship rape based on novel mountains winter,The Revenant,The Revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
177,Animation Family,underdog car race dream speed power,Turbo,Turbo,Ryan Reynolds Paul Giamatti Michael Pe\u00f1a Samuel L. Jackson Luis Guzm\u00e1n,David Soren
178,Animation Comedy Family Western Adventure,sheriff nevada pet rango chameleon,Rango,Rango,Johnny Depp Isla Fisher Ned Beatty Bill Nighy Alfred Molina,Gore Verbinski
179,Family Animation Adventure Comedy,penguin madagascar 3d,Penguins of Madagascar,Penguins of Madagascar,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich,Eric Darnell
180,Action Drama Mystery Thriller,paris corruption madrid assassin based on novel,The Bourne Ultimatum,The Bourne Ultimatum,Matt Damon Julia Stiles David Strathairn Scott Glenn Paddy Considine,Paul Greengrass
181,Adventure Animation Family Comedy,china martial arts kung fu mentor snake,Kung Fu Panda,Kung Fu Panda,Jack Black Dustin Hoffman Angelina Jolie Jackie Chan Lucy Liu,Mark Osborne
182,Science Fiction Action Adventure,marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger,Ant-Man,Ant-Man,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Peyton Reed
183,Adventure Action Science Fiction,competition based on novel mentor secret factory,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
184,Fantasy Comedy Animation Science Fiction Family,friendship spaceship space alien alien invasion,Home,Home,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,Tim Johnson
185,Adventure Thriller Science Fiction,post traumatic stress  disorder new jersey airplane dystopia daughter,War of the Worlds,War of the Worlds,Tom Cruise Dakota Fanning Miranda Otto Justin Chatwin Tim Robbins,Steven Spielberg
186,Adventure Action Comedy Thriller Crime,miami ku klux klan cuba undercover mexican standoff,Bad Boys II,Bad Boys II,Martin Lawrence Will Smith Jordi Moll\u00e0 Gabrielle Union Peter Stormare,Michael Bay
187,Action Adventure Animation Family Fantasy,adventure fairy-tale figure,Puss in Boots,Puss in Boots,Antonio Banderas Salma Hayek Zach Galifianakis Billy Bob Thornton Amy Sedaris,Chris Miller
188,Action Mystery Thriller,assassination spy cia kidnapping cold war,Salt,Salt,Angelina Jolie Liev Schreiber Chiwetel Ejiofor Daniel Olbrychski August Diehl,Phillip Noyce
189,Drama Adventure,bible god noah 3d,Noah,Noah,Russell Crowe Jennifer Connelly Emma Watson Logan Lerman Anthony Hopkins,Darren Aronofsky
190,Adventure Animation Mystery,riddle captain treasure liquor treasure hunt,The Adventures of Tintin,The Adventures of Tintin,Jamie Bell Andy Serkis Daniel Craig Nick Frost Simon Pegg,Steven Spielberg
191,Adventure Fantasy Family,flying traitor magic cutting the cord child hero,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe Rupert Grint Emma Watson Gary Oldman David Thewlis,Alfonso Cuar\u00f3n
192,Drama,missionary world war ii ranch australia british,Australia,Australia,Nicole Kidman Hugh Jackman Essie Davis David Wenham Bryan Brown,Baz Luhrmann
193,Science Fiction Action Adventure,dystopia,After Earth,After Earth,Jaden Smith Will Smith Sophie Okonedo Zo\u00eb Kravitz Glenn Morshower,M. Night Shyamalan
194,Animation Family,cataclysm asteroid leader comet animation,Dinosaur,Dinosaur,D. B. Sweeney Alfre Woodard Ossie Davis Max Casella Hayden Panettiere,Ralph Zondag
195,Adventure Comedy Fantasy Family,night watchman museum natural history history smithsonian,Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,Ben Stiller Rami Malek Rebel Wilson Robin Williams Owen Wilson,Shawn Levy
196,Animation Action Comedy Family Science Fiction,saving the world date prison secret identity fish,Megamind,Megamind,Will Ferrell Brad Pitt Tina Fey Jonah Hill David Cross,Tom McGrath
197,Adventure Fantasy Family,witch christmas party magic cutting the cord halloween,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Tom Felton,Chris Columbus
198,Fantasy Action Comedy Crime,gold police operation partner revenge undead,R.I.P.D.,R.I.P.D.,Jeff Bridges Ryan Reynolds Kevin Bacon Stephanie Szostak Mary-Louise Parker,Robert Schwentke
199,Adventure Fantasy Action,exotic island blacksmith east india trading company gold marriage proposal,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp Geoffrey Rush Orlando Bloom Keira Knightley Jack Davenport,Gore Verbinski
200,Science Fiction Adventure Thriller,resistance post-apocalyptic dystopia war sequel,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Donald Sutherland,Francis Lawrence
201,Thriller Mystery,paris holy grail christianity monk based on novel,The Da Vinci Code,The Da Vinci Code,Tom Hanks Audrey Tautou Ian McKellen Paul Bettany Jean Reno,Ron Howard
202,Animation Adventure Comedy Family,bird sequel jungle audition amazon rainforest,Rio 2,Rio 2,Jesse Eisenberg Anne Hathaway Leslie Mann Jamie Foxx Andy Garc\u00eda,Carlos Saldanha
203,Adventure Action Science Fiction Thriller,mutant marvel comic superhero based on comic book superhuman,X2,X2,Patrick Stewart Hugh Jackman Ian McKellen Halle Berry Famke Janssen,Bryan Singer
204,Action Thriller Crime,brazil fbi freedom escape from prison car crash,Fast Five,Fast Five,Vin Diesel Paul Walker Jordana Brewster Tyrese Gibson Ludacris,Justin Lin
205,Adventure Action Crime Mystery,detective inspector steampunk criminal mastermind,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,Robert Downey Jr. Jude Law Jared Harris Noomi Rapace Kelly Reilly,Guy Ritchie
206,Adventure Fantasy Action,hades mythology greek mythology zeus medusa,Clash of the Titans,Clash of the Titans,Sam Worthington Liam Neeson Ralph Fiennes Gemma Arterton Jason Flemyng,Louis Leterrier
207,Action Adventure Science Fiction,oxygen falsely accused resistance mars double life,Total Recall,Total Recall,Arnold Schwarzenegger Sharon Stone Rachel Ticotin Ronny Cox Michael Ironside,Paul Verhoeven
208,Adventure Fantasy Action,witch cave arabian scandinavia bagdad,The 13th Warrior,The 13th Warrior,Antonio Banderas Vladimir Kulich Dennis Storh\u00f8i Daniel Southern Clive Russell,John McTiernan
209,Action Thriller,assassin wolf maryland suicide by gunshot rooftop,The Bourne Legacy,The Bourne Legacy,Jeremy Renner Rachel Weisz Edward Norton Scott Glenn Stacy Keach,Tony Gilroy
210,Action Crime Fantasy,double life dc comics dual identity crime fighter fictional place,Batman & Robin,Batman & Robin,George Clooney Chris O'Donnell Arnold Schwarzenegger Uma Thurman Alicia Silverstone,Joel Schumacher
211,Family Comedy Fantasy,holiday christmas party new love santa claus village,How the Grinch Stole Christmas,How the Grinch Stole Christmas,Jim Carrey Taylor Momsen Jeffrey Tambor Christine Baranski Bill Irwin,Ron Howard
212,Action Adventure Science Fiction Thriller,saving the world library cataclysm climate change greenhouse effect,The Day After Tomorrow,The Day After Tomorrow,Dennis Quaid Jake Gyllenhaal Emmy Rossum Dash Mihok Jay O. Sanders,
213,Adventure Action Thriller,terror spain cia helicopter secret identity,Mission: Impossible II,Mission: Impossible II,Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh,John Woo
214,Drama,u.s. air force grocery jamaican meteorologist rescue boat,The Perfect Storm,The Perfect Storm,George Clooney Mark Wahlberg Diane Lane John C. Reilly William Fichtner,Wolfgang Petersen
215,Adventure Fantasy Action Thriller,fire helicopter surfboard mask satellite,4: Rise of the Silver Surfer,Fantastic 4: Rise of the Silver Surfer,Ioan Gruffudd Jessica Alba Chris Evans Michael Chiklis Julian McMahon,Tim Story
216,Adventure Drama Action,ocean shipwreck hindu tiger faith,Life of Pi,Life of Pi,Suraj Sharma Irrfan Khan Ayush Tandon Gautam Belur Adil Hussain,Ang Lee
217,Thriller Action Fantasy Horror,mephisto religion and supernatural dying and death devil's son ghost world,Ghost Rider,Ghost Rider,Nicolas Cage Eva Mendes Wes Bentley Donal Logue Sam Elliott,Mark Steven Johnson
218,Action Thriller,assassin amnesia flashback,Jason Bourne,Jason Bourne,Matt Damon Alicia Vikander Tommy Lee Jones Vincent Cassel Julia Stiles,Paul Greengrass
